1597,Adjectives,67,29.9%,6%,0.59,0.63,0.31,90%
1599,Nouns,99,34.3%,13.1%,0.63,0.67,0.32,88.2%
1601,Verbs,71,57.7%,8.5%,0.54,0.54,0.63,90.2%
