1,51.557
1000,27.311
2000,22.955
3000,21.125
4000,19.996
5000,16.487
6000,10.405
7000,9.529
8000,8.789
9000,8.513
10000,8.314
11000,8.045
12000,7.834
13000,7.784
14000,7.730
15000,7.663
16000,7.553
17000,7.595
18000,7.399
19000,7.493
20000,7.353
21000,7.331
22000,7.359
23000,7.356
24000,7.334
25000,7.353
26000,7.295
27000,7.350
28000,7.256
29000,7.215
30000,7.275
31000,7.245
32000,7.201
33000,7.095
34000,7.218
35000,7.115
36000,7.194
37000,7.135
38000,7.098
39000,7.129
40000,7.199
41000,7.172
42000,7.171
43000,7.120
44000,7.126
45000,7.146
46000,7.095
47000,7.125
48000,7.084
49000,7.078
50000,7.047
51000,7.132
52000,7.139
53000,7.127
54000,7.142
55000,7.027
56000,7.063
57000,7.052
58000,7.054
59000,7.063
60000,7.100
61000,7.006
62000,7.067
63000,7.013
64000,7.058
65000,7.080
66000,7.078
67000,7.002
68000,7.039
69000,7.026
70000,7.111
71000,7.015
72000,7.036
73000,7.083
74000,7.108
75000,7.006
76000,7.035
77000,7.072
78000,7.023
79000,7.063
80000,7.046
81000,7.006
82000,7.056
83000,7.014
84000,7.056
85000,7.055
