100,9.670
200,5.544
300,4.976
400,4.748
500,4.641
600,4.538
700,4.491
800,4.454
900,4.368
1000,4.350
1100,4.330
1200,4.331
1300,4.263
1400,4.293
1500,4.216
1600,4.175
1700,4.175
1800,4.174
1900,4.122
2000,4.106
2100,4.129
2200,4.078
2300,4.079
2400,4.057
2500,4.135
2600,4.053
2700,4.063
2800,4.052
2900,4.039
3000,4.017
3100,3.956
3200,4.034
3300,3.977
3400,7.455
3500,32.414
3600,40.894
3700,42.876
3800,42.767
3900,42.710
4000,42.671
4100,42.803
4200,42.934
4300,42.785
4400,42.928
4500,43.003
4600,42.786
4700,42.697
4800,42.761
4900,42.918
5000,42.834
5100,43.009
5200,42.753
5300,42.804
5400,42.851
5500,42.950
5600,42.802
