2003,Eth - byttet ð,10,20%,0%,0.59,0.67,0.2,50%
1393,Eth - mangler ð,120,45%,5.8%,0.79,0.83,0.45,0%
1395,Eth - tilføjet ð,108,29.6%,7.4%,0.65,0.7,0.3,84.4%
