2003,Eth - byttet ð,10,60%,0%,0.84,0.86,0.67,100%
1393,Eth - mangler ð,119,40.3%,8.4%,0.4,0.39,0.45,16.7%
1395,Eth - tilføjet ð,109,31.2%,16.5%,0.55,0.57,0.38,52.9%
