1000,9.551
2000,5.890
3000,5.564
4000,5.154
5000,4.931
6000,4.887
7000,4.683
8000,4.664
9000,4.651
10000,4.563
11000,4.535
12000,4.589
13000,4.564
14000,4.437
15000,4.372
16000,4.501
17000,4.338
18000,4.424
19000,4.422
20000,4.402
21000,4.274
22000,4.319
23000,4.300
24000,4.280
25000,4.331
26000,4.316
27000,4.247
28000,4.293
29000,4.255
30000,4.364
31000,4.245
32000,4.303
33000,4.212
34000,4.229
35000,4.223
36000,4.223
37000,4.255
38000,4.239
39000,4.201
40000,4.292
41000,4.224
42000,4.199
43000,4.181
44000,4.158
45000,4.236
46000,4.264
47000,4.234
48000,4.236
49000,4.208
50000,4.180
51000,4.166
52000,4.169
53000,4.167
54000,4.103
55000,4.115
56000,4.200
57000,4.188
58000,4.187
59000,4.179
60000,4.210
61000,4.090
62000,4.151
63000,4.144
64000,4.145
65000,4.159
66000,4.209
67000,4.166
68000,4.153
69000,4.129
70000,4.125
71000,4.134
72000,4.231
73000,4.096
74000,4.205
75000,4.174
76000,4.242
77000,4.162
78000,4.167
79000,4.211
80000,4.100
81000,4.081
