1597,Adjectives,67,19.4%,4.5%,0.66,0.75,0.23,84.6%
1599,Nouns,99,23.2%,8.1%,0.55,0.57,0.33,65.2%
1601,Verbs,71,43.7%,11.3%,0.6,0.61,0.48,93.5%
